# pombe-cerevisiae manually curated orthologs V2.23
SPAC1782.04	YLR204W(N)|YNL295W(C)
SPAC1805.18	YBR167C|YGR030C
SPAC1834.13	NONE
SPAC186.04c	NONE
SPAC19A8.16	NONE
SPAC19G12.17	NONE
SPAC1B2.06	NONE
SPAC20G4.09	NONE
SPAC212.06c	NONE
SPAC212.12	NONE
SPAC222.17	NONE
SPAC222.18	NONE
SPAC222.19	NONE
SPAC227.19c	NONE
SPAC23D3.16	NONE
SPAC23D3.17	NONE
SPAC25B8.20	NONE
SPAC27E2.14	NONE
SPAC29A4.22	NONE
SPAC2H10.04	NONE
SPAC343.21	NONE
SPAC3G9.17	NONE
SPAC3H5.13	NONE
SPAC4D7.15	NONE
SPAC4G9.22	NONE
SPAC4H3.16	NONE
SPAC4H3.17	NONE
SPAC57A7.15c	NONE
SPAC688.16	NONE
SPAC750.01	NONE
SPAC8E11.12	NONE
SPAC922.09	NONE
SPAC926.10	NONE
SPAC959.06c	NONE
SPAC959.11	NONE
SPAC977.04	NONE
SPAC9G1.14	NONE
SPAC9G1.15c	NONE
SPACUNK4.20	NONE
SPAPB15E9.06	NONE
SPAPB1E7.14	NONE
SPAPJ695.02	NONE
SPBC1105.19	NONE
SPBC1348.12	NONE
SPBC1348.15	NONE
SPBC13G1.16	NONE
SPBC14C8.19	NONE
SPBC1685.17	NONE
SPBC16C6.14	NONE
SPBC16E9.20	NONE
SPBC17D1.17	NONE
SPBC18E5.09c	NONE
SPBC21B10.15	NONE
SPBC29A10.17	NONE
SPBC2A9.14	NONE
SPBC30B4.09	NONE
SPBC32F12.16	NONE
SPBC32F12.17	NONE
SPBC32H8.15	NONE
SPBC336.16	NONE
SPBC337.02c	NONE
SPBC36.13	NONE
SPBC3E7.04c	NONE
SPBC3E7.17	NONE
SPBC3H7.18	NONE
SPBC4.06	NONE
SPBC56F2.15	NONE
SPBC651.07	NONE
SPBC713.13	NONE
SPBC839.19	NONE
SPBC839.20	NONE
SPBP23A10.17	NONE
SPBP35G2.17	NONE
SPBP8B7.32	NONE
SPBPB21E7.02c	NONE
SPBPB21E7.10	NONE
SPBPB21E7.11	NONE
SPCC1235.17	NONE
SPCC1235.18	NONE
SPCC1259.16	NONE
SPCC162.01c	NONE
SPCC162.02c	NONE
SPCC162.03	NONE
SPCC162.04c	NONE
SPCC1672.14	NONE
SPCC16C4.22	YBR278W
SPCC18.20	NONE
SPCC188.14	NONE
SPCC1884.01	NONE
SPCC1919.06c	NONE
SPCC285.06c	NONE
SPCC306.10	NONE
SPCC330.20	YBR162W-A
SPCC330.21	NONE
SPCC417.16	NONE
SPCC548.03c	NONE
SPCC553.05c	NONE
SPCC569.09	NONE
SPCC663.17	NONE
SPCC757.15	YML129C
SPCC794.16	NONE
SPCP20C8.04	NONE
SPCPB16A4.07	NONE
SPMTR.01	NONE
SPMTR.02	NONE
SPMTR.03	NONE
SPMTR.04	NONE
SPBC460.01c	YBR068C|YBR069C|YCL025C|YDR046C|YDR508C|YEL063C|YGR191W|YKR039W|YNL268W|YNL270C|YOL020W|YOR348C|YPL265W
SPBC460.02c	YGR201C|YKL081W|YPL048W
SPBC460.03	YBR293W|YMR088C
SPBC460.04c	YLL057C
SPBC460.05	YJR152W|YLR004C
SPBC19G7.19	YPR133W-A 
SPAC977.18	YBL029C-A
SPCC663.18	YER180C-A
SPAC6F6.19	YLR271W
SPAP4C9.02	YIL027C
SPCC18.19c	YGL226C-A
SPCC1235.16	YGR105W
SPCC70.12c	YGR146C
SPCC1442.19	YKL167C
SPBC26H8.16	YBR269C
SPAC22H10.13	NONE
SPAC3A12.18	YNL241C
SPBC1778.01c	YGR285C
SPAC15A10.04c	YGR211W
SPAC25G10.03	YNL103W|YIR017C
SPAC23C11.14	YMR243C|YOR316C
SPBC1718.07c	YDR151C|YLR136C
SPAC31F12.01	YML109W|YMR273C
SPBC1198.04c	YPR022C
SPAC227.08c	YPR107C
SPAC17G6.16c	YLR277C
SPAPB1A10.10c	YML001W
SPAPB1A10.16	YGL041W-A
SPBC405.04c	YML001W
SPAC6F6.15	YKR014C|YNL093W|YOR089C
SPAC1B3.11c	NONE
SPAC18G6.03	YER031C|YGL210W
SPAC9E9.07c	YFL005W
SPBC1703.10	YFL038C
SPCC1795.09	YDR144C|YDR349C|YIR039C|YLR120C|YLR121C
SPCC11E10.05c	YER005W
SPBC13G1.11	YKL196C
SPAPB17E12.02	NONE
SPAC19B12.12c	NONE
SPAC1F5.08c	YNL291C
SPAC1F7.12	NONE
SPCC24B10.14c	YLR265C
SPCC1739.15	NONE
SPCC1906.04	NONE
SPCC285.07c	NONE
SPCC1450.08c	NONE
SPCC663.02	NONE
SPCC622.21	NONE
SPCC1183.10	NONE
SPAC4F10.15c	YOR181W
SPBC30B4.01c	YHL028W|YNL283C|YOL105C|YOR008C
SPAC9E9.13	YKL117W
SPAC9G1.02	YCR073C|YNR031C
SPAC1B3.03c	YJR032W|YLR216C
SPBC409.07c	YJL128C
SPAC1006.09	YCR073C|YNR031C
SPBC800.02	YOR083W
SPCC18B5.03	YJL187C
SPBC3B9.10	YMR197C
SPCC1322.14c	YDR098C|YJL012C
SPBC13E7.09	YLR337C
SPBC29A10.11c	YML097C
SPBC4F6.10	YML097C
SPAC17A2.06c	YAL002W
SPAC1783.02c	YPR139C
SPAC630.11	YJR044C
SPAC3A12.15	YJL029C
SPCPJ732.01	YOR069W
SPAC2G11.03c	YGL095C
SPAP27G11.05c	YDR080W
SPAC2G11.06	YPR173C
SPCC777.13	YJL154C
SPBC1703.15c	YLR396C
SPAC1142.07c	YLR025W
SPCC364.05	YDR495C
SPAC15E1.06	YHR012W
SPAC1B3.07c	YPL065W
SPAC19A8.05c	YNR006W
SPAC4G9.13c	YJL053W
SPBC4B4.06	YJR102C
SPAC9E9.14	YKL041W
SPBC215.14c	YMR077C
SPAPJ696.01c	YOR132W
SPAC824.05	YPL045W
SPBC21C3.01c	YLL040C
SPBC16C6.02c	YLL040C
SPAC767.01c	YKR001C
SPCC757.10	YKL119C
SPAC16E8.07c	YMR054W|YOR270C
SPCC965.03	YEL051W
SPBC3B9.18c	YGR020C
SPAC17A2.03c	YLR447C
SPAPB2B4.05	YKL080W
SPAC11E3.07	YOR332W
SPAC1B3.14	YEL027W
SPAC637.05c	YBR127C
SPAC2C4.13	YHR026W
SPAC7D4.10	YPR036W
SPAC732.01	YPL234C
SPBC1289.05c	YHR039C-A
SPAC343.05	YDL185W
SPAC10F6.06	NONE
SPAC1B3.16c	YGR065C
SPAC4A8.08c	YGR094W
SPAC23H4.14	YDL077C
SPBC354.14c	YEL013W
SPBC16E9.06c	YAL044W-A
SPBC649.04	YBR016W|YDL012C|YDR210W
SPBC19C7.09c	NONE
SPBC23E6.04c	YJL109C
SPAC29E6.03c	YDL058W
SPAC1002.19	NONE
SPAC1952.11c	NONE
SPAC2G11.02	YJR041C
SPBC725.15	YML106W|YMR271C
SPCC330.05c	YEL021W
SPAC57A10.12c	YKL216W
SPAC16.03c	YLR420W
SPAC22G7.06c	YJL130C
SPAC31G5.08	YOR278W
SPAC19A8.08	YHR077C
SPAC16C9.06c	YMR080C
SPCC1183.06	YML021C
SPAC17A5.07c	YIL031W
SPBC19G7.09	YPL020C
SPAC1B2.02c	YDR470C
SPCC895.04c	YOR075W
SPAC20H4.10	YDL190C
SPBC16A3.09c	YGR048W
SPAC1805.12c	YIL148W|YKR094C
SPBC83.01	YBL047C
SPAC17A5.12	YDR320C
SPAC3F10.13	YOR138C
SPBC21D10.05c	YGL181W
SPBC6B1.06c	YBR058C
SPAC1486.02c	YOL073C
SPCC895.09c	YLR419W
SPCC285.11	YDL091C|YML013W
SPAC343.09	YBL058W
SPAC2C4.15c	YDR330W
SPAC15A10.11	YGR184C|YLR024C
SPBC19C7.02	YGR184C|YLR024C
SPCC188.08c	YMR304W
SPBC713.02c	YMR304W
SPCC1494.05c	YJL197W
SPCC16A11.12c	YJL197W
SPBC337.08c	YLL039C
SPAC6G10.11c	YLR167W
SPAC11G7.04	YIL148W|YKR094C
SPBC211.07c	YEL012W
SPAC10F6.05c	YER100W
SPBC119.02	YBR082C|YDR059C
SPBP16F5.04	YMR022W
SPBC1198.09	YGR133W
SPBC1105.09	YMR022W
SPAC1250.03	NONE
SPAC11E3.04c	YDR092W
SPCC777.10c	YLR306W
SPCC1259.15c	YOR339C
SPBC2D10.20	YDR177W
SPAC323.06c	YPL003W
SPAC24H6.12c	YPR066W
SPAC17G6.14c	YDL084W
SPBC1289.02c	YNL286W
SPCC1494.04c	YBR166C
SPCC126.06	YGR080W
SPAC630.14c	YCR084C
SPAC18B11.10	YCR084C
SPBC32F12.04	YLR212C
SPBC9B6.04c	YOR187W
SPBC800.05c	YML085C|YML124C
SPAC30.03c	NONE
SPBC800.07c	NONE
SPAC630.13c	NONE
SPAC22F3.13	NONE
SPBC12D12.07c	YCR083W
SPAC7D4.07c	YGR209C|YLR043C
SPBC29A3.14c	YLR318W
SPBC1718.05	YDR472W
SPBC11G11.04	YBR254C
SPBC3F6.03	YDR353W|YHR106W
SPBC16G5.08	YDR354W
SPCC1442.09	YER090W
SPAC19A8.15	YGL026C
SPBC1539.09c	YKL211C
SPAPB18E9.01	YHR070W
SPAC4G8.06c	YML005W
SPAC31A2.02	YNR046W
SPBC16D10.02	YOL124C
SPAC6B12.09	YOL093W
SPBC25D12.05	YDR120C
SPAC17G8.01c	YJL087C
SPAC1639.02c	YJL129C|YKR050W
SPAC3F10.02c	YJL129C|YKR050W
SPBC19G7.13	YPL128C
SPCC576.03c	YDR453C|YML028W
SPAC3G6.09c	YDR074W
SPAC328.03	YBR126C
SPAC27D7.14c	YOL145C
SPAC19G12.15c	YDR074W
SPCC24B10.21	YDR050C
SPBC216.07c	YJR066W|YKL203C
SPBC30D10.10c	YJR066W|YKL203C
SPBC16G5.12c	YLR234W
SPBC1A4.03c	YNL088W
SPBC1703.14c	YOL006C
SPAC6B12.12	YHR117W|YNL121C
SPBC27B12.10c	YNL070W
SPBC27B12.13	YMR203W
SPAC17H9.16	YNL131W
SPAC6F12.07	YGR082W
SPBC713.08	YOL026C
SPCC1753.04	YOL064C
SPBC1773.05c	YDL246C|YJR159W|YLR070C
SPCC70.07c	YJR057W
SPBCPT2R1.08c	NONE
SPAC212.11	NONE
SPAC823.05c	YAL014C|YOL018C
SPBC36B7.07	YDR468C
SPCC4B3.16	YPR040W
SPAC3C7.12	YCL029C
SPAC13G6.04	YJR135W-A
SPAC57A10.11c	YKL195W
SPCC16A11.09c	YNR017W
SPBC1289.09	YGR033C
SPBP23A10.16	YDR178W|YLR164W|YOR297C
SPAC3A12.16c	YJL143W
SPAC824.06	YLR008C|YNL328C
SPAC17C9.09c	YGR181W
SPAC222.03c	YBR091C|YHR005C-A
SPCC1919.09	YPR016C
SPBC336.10c	YEL034W|YJR047C
SPAC26H5.10c	YEL034W|YJR047C
SPAC17C9.03	YGL049C|YGR162W
SPBC1709.18	YOL139C
SPAC16E8.15	YOL139C
SPBC18H10.03	YDR429C
SPAC4A8.16c	YMR309C
SPBC17D11.05	YBR079C
SPAC8C9.15c	YDR211W
SPAC21E11.06	YGR083C
SPAC4D7.09	YOR260W
SPBC17G9.09	YER025W
SPAC32A11.04c	YPL237W
SPAC3G9.09c	YJR007W
SPBC25H2.07	YMR260C
SPAC23C4.07	NONE
SPAC13C5.03	YMR065W
SPBC25H2.02	YIL078W
SPCC965.05c	NONE
SPBC1105.07c	YOL072W
SPAC23H4.10c	YPL214C
SPBC26H8.01	YGR144W
SPAC1486.10	NONE
SPAC20H4.03c	YGL043W
SPAC22H12.02	YPL129W
SPBC1198.13c	YGR005C
SPCC1620.09c	YGR186W
SPBC30B4.07c	YPR056W
SPBC13G1.13	YPL122C
SPAC16E8.11c	YDR311W
SPCC1672.08c	YKR062W
SPAC458.07	YKL028W
SPBC9B6.02c	NONE
SPAC19D5.09c	NONE
SPAC13D1.01c	NONE
SPAC27E2.08	NONE
SPAPB15E9.03c	NONE
SPAC26A3.13c	NONE
SPCC1020.14	NONE
SPAC9.04	NONE
SPCC23B6.03c	YBL088C
SPCC1450.04	YAL003W
SPCC417.08	YLR249W|YNL014W
SPBC1706.01	YAR014C
SPAC6G10.02c	YGR238C|YHR158C
SPBC1604.20c	YPL155C
SPCC1223.06	YGR238C|YHR158C
SPBC32F12.11	YGR192C|YJL052W|YJR009C
SPBC660.11	YLL046C
SPAC29E6.08	YER148W
SPAC16A10.07c	NONE
SPBC83.03c	NONE
SPCC1020.06c	YGR043C|YLR354C
SPAC12G12.05c	YMR236W
SPBC15D4.14	YBR198C
SPCC5E4.03c	YBR198C
SPCC16C4.18c	YGL112C
SPAC23G3.09	YMR005W
SPAC823.06	YPL011C
SPAC3A12.05c	YCR042C
SPCC1494.02c	YML098W
SPAC15A10.02	YDR145W
SPAC2G11.14	YGR274C
SPAC1002.04c	YML015C
SPBC21H7.02	YDR167W
SPAC7D4.04	YPR049C
SPAC6G9.11	YAL030W|YOR327C
SPAC1296.03c	NONE
SPAC26A3.01	YDR144C|YDR349C|YIR039C|YLR120C|YLR121C
SPBC11B10.06	YDR078C
SPAC664.01c	NONE
SPBC409.03	YHR079C-A
SPBC30D10.04	YMR048W
SPAC1142.03c	YPL121C
SPBC4F6.15c	YML095C
SPBC216.06c	YNL273W
SPBC354.03	YBR175W
SPBC18H10.06c	YKL018W
SPAC23H3.05c	YAR003W
SPBP35G2.13c	YDR485C
SPAC637.11	YPL029W
SPAC2F3.08	NONE
SPBC947.01	YER047C|YPL074W
SPAC1834.01	YBR143C
SPCC584.04	YDR172W
SPCC1795.11	YOR204W|YPL119C
SPBC800.09	YPR129W
SPAC4D7.05	YMR146C
SPBC23G7.05	YNL244C
SPBC25D12.04	YGR180C|YJL026W
SPBC1734.14c	YBR135W
SPBC27.08c	YJR010W
SPAC24B11.06c	YLR113W
SPBC1271.02	YGL022W
SPCC16C4.09	YDR293C
SPAC20G4.07c	YGL012W
SPAC1F8.03c	YCL073C|YEL065W|YHL040C|YHL047C|YKR106W|YOL158C
SPCC61.01c	YCL073C|YEL065W|YHL040C|YHL047C|YKR106W|YOL158C
SPBC4F6.09	YCL073C|YEL065W|YHL040C|YHL047C|YKR106W|YOL158C
SPAC1071.12c	YPR073C
SPAC17C9.10	YBR147W|YDR090C|YDR352W|YOL092W
SPCC645.14c	YOR027W
SPAC4F8.10c	YOR367W
SPAC23E2.03c	NONE
SPCC1442.01	YLR310C
SPAC1565.04c	YCL032W
SPBC12C2.02c	YER093C
SPBC776.09	YDL160C
SPBC32C12.02	NONE
SPAC3G9.04	YNL222W
SPAC4G8.02c	YDR086C
SPBP23A10.05	NONE
SPAC23G3.10c	YCR052W|YNR023W
SPAC23H3.10	YJL176C
SPAC17G6.10	YFR037C
SPCC74.03c	YDR477W
SPCC297.03	YER129W|YGL179C
SPBC23E6.09	YBR112C
SPAC27D7.13c	YPL174C
SPAC1687.18c	YER147C
SPCC1682.07	YLR005W
SPAC664.11	YEL030W|YJR045C
SPCC23B6.05c	YJL173C
SPCC1753.01c	YNL312W
SPBC660.13c	YAR007C
SPCC1739.13	YAL005C|YBL075C|YER103W|YLL024C
SPAC13G7.02c	YAL005C|YBL075C|YER103W|YLL024C
SPBC106.02c	YKL086W
SPAC144.13c	YGL003C
SPAC4H3.05	YJL092W
SPCC320.10	YPL210C
SPCC188.06c	YPR088C
SPAC16.02c	YDR432W
SPAC19B12.09	YDL092W
SPAC23H4.07c	YKL154W
SPBC11C11.08	NONE
SPCC1322.08	YGL158W|YLR248W
SPBC354.05c	NONE
SPBC19C2.09	NONE
SPAC589.02c	YDR443C
SPAC688.08	YCR081W
SPBC1604.10	YDR308C
SPAC29A4.07	YBR253W
SPBC31F10.04c	YER022W
SPBC12D12.06	YNL025C
SPAC23H4.17c	YPL042C
SPAC1F7.01c	YGR116W
SPAC23C4.19	YML010W
SPBC21C3.16c	YGR063C
SPCC61.02	YDR392W
SPAC4F8.12c	YHR165C
SPCC285.17	YMR233W|YOR295W
SPBC17D11.06	YKL045W
SPAC6B12.10c	YIR008C
SPBC1778.04	YDR052C
SPBC21C3.18	YDL017W
SPAC607.10	NONE
SPAC3H8.10	YKL091C|YMR079W
SPAC1F3.06c	NONE
SPBC3H7.01	YNR026C
SPAC3F10.15c	YGR230W|YHR152W
SPBC19F8.01c	NONE
SPCC188.12	YHR107C
SPAC24C9.15c	NONE
SPAC9G1.11c	YHR107C
SPBC16A3.01	YJR076C
SPAC821.06	YCR002C
SPAC4F10.11	YLR314C
SPAC31G5.09c	YBL016W
SPBC1289.03c	YLR293C|YOR185C
SPAC1565.06c	YML064C
SPBC1289.11	NONE
SPBC1734.05c	NONE
SPCC1281.02c	NONE
SPBP4H10.05c	YOL052C
SPAC144.04c	YKL184W
SPAC29B12.03	YLR437C
SPCPJ732.02c	YGR194C
SPCPB1C11.03	YLL055W
SPCPB1C11.02	YBR068C|YBR069C|YCL025C|YDR046C|YDR508C|YEL063C|YGR191W|YKR039W|YNL268W|YNL270C|YOL020W|YOR348C|YPL265W
SPCPB16A4.06c	NONE
SPCPB16A4.05c	NONE
SPCPB16A4.04c	YDL201W
SPCPB16A4.02c	YBR129C
SPCP31B10.06	YML072C|YNL087W|YOR086C
SPCP31B10.05	YBR223C
SPCP31B10.04	YKL077W
SPCP31B10.02	YPL107W
SPCP25A2.03	NONE
SPCP20C8.02c	NONE
SPCP20C8.01c	NONE
SPCP1E11.11	YDR496C
SPCP1E11.10	YCR051W
SPCP1E11.08	YER126C
SPCP1E11.05c	YCR048W|YNR019W
SPCP1E11.03	NONE
SPCC970.11c	NONE
SPCC970.10c	YDL074C
SPCC970.08	YDR017C
SPCC970.06	YGR284C
SPCC970.03	YIL043C
SPCC970.02	YKL046C|YMR238W
SPCC965.14c	YPR062W
SPCC965.13	NONE
SPCC965.12	NONE
SPCC965.11c	YFL055W
SPCC965.10	YDL170W
SPCC965.09	YLR351C
SPCC965.06	NONE
SPCC965.04c	YPR024W
SPCC962.05	NONE
SPCC962.01	YML072C|YNL087W|YOR086C
SPCC895.08c	NONE
SPCC895.06	YGR200C
SPCC895.03c	YGL169W
SPCC830.11c	YDL166C
SPCC830.10	YJR069C
SPCC830.09c	YAL033W
SPCC830.08c	YPR028W
SPCC830.06	YKL190W
SPCC830.05c	YFL024C
SPCC830.04c	NONE
SPCC830.03	YLL035W
SPCC825.05c	NONE
SPCC825.04c	YMR069W
SPCC825.02	YDR221W
SPCC825.01	NONE
SPCC794.15	NONE
SPCC794.11c	YJR125C
SPCC794.10	YHL012W|YKL035W
SPCC794.08	YMR212C
SPCC794.07	YNL071W
SPCC794.06	NONE
SPCC794.04c	NONE
SPCC794.03	YDL210W|YGL077C|YKL174C
SPCC794.02	NONE
SPCC794.01c	YNL241C
SPCC790.03	YPL246C
SPCC777.17c	NONE
SPCC777.15	YLR405W
SPCC777.12c	NONE
SPCC777.11	YGR102C
SPCC777.08c	YBR270C|YJL058C
SPCC777.07	YBR199W|YBR205W|YDR483W|YJL139C|YKR061W|YOR099W|YPL053C
SPCC777.06c	NONE
SPCC777.04	YBR068C|YBR069C|YCL025C|YDR046C|YDR508C|YEL063C|YGR191W|YKR039W|YNL268W|YNL270C|YOL020W|YOR348C|YPL265W
SPCC777.03c	NONE
SPCC777.02	YLR098C|YOR337W
SPCC757.13	YJR152W|YLR004C
SPCC757.12	NONE
SPCC757.11c	NONE
SPCC757.08	YDR280W
SPCC757.06	NONE
SPCC757.05c	YBR281C
SPCC757.04	YLR098C|YOR337W
SPCC757.03c	YDR533C|YMR322C|YOR391C|YPL280W
SPCC757.02c	NONE
SPCC74.09	NONE
SPCC74.04	YDL210W|YGL077C|YKL174C
SPCC74.02c	NONE
SPCC737.08	YLR106C
SPCC737.07c	YKL017C
SPCC737.06c	NONE
SPCC737.05	YDR479C|YHR150W
SPCC737.04	NONE
SPCC737.03c	NONE
SPCC736.15	YGR086C|YPL004C
SPCC736.13	YOR246C
SPCC736.12c	YDR374C
SPCC736.10c	YMR158W
SPCC736.09c	NONE
SPCC736.08	NONE
SPCC736.07c	YFL023W
SPCC736.06	YPL104W
SPCC736.05	NONE
SPCC736.03c	YPR047W
SPCC736.02	NONE
SPCC70.10	NONE
SPCC70.09c	YGR273C|YMR295C
SPCC70.08c	NONE
SPCC70.06	YDR159W
SPCC70.05c	YKL171W
SPCC70.04c	NONE
SPCC70.03c	YLR142W
SPCC70.02c	YDL130W-A|YDL181W
SPCC663.15c	YPR097W
SPCC663.14c	YAL053W|YGL139W|YOR365C|YPL221W
SPCC663.13c	YOR253W
SPCC663.11	YBR194W
SPCC663.10	YPL030W
SPCC663.09c	YKL071W
SPCC663.08c	YKL071W
SPCC663.06c	YKL071W
SPCC645.13	YKL005C
SPCC645.12c	NONE
SPCC645.10	YER168C
SPCC645.09	YBR268W
SPCC645.08c	NONE
SPCC645.02	YHR100C
SPCC63.14	YKL050C|YMR031C
SPCC63.13	NONE
SPCC63.12c	YER094C
SPCC63.10c	YMR013C
SPCC63.07	YGR024C
SPCC63.06	YNL035C
SPCC63.05	YMR028W
SPCC63.03	NONE
SPCC622.19	NONE
SPCC622.15c	NONE
SPCC622.14	YDL226C|YNL204C
SPCC622.13c	YKL033W
SPCC622.12c	YAL062W|YOR375C
SPCC622.11	NONE
SPCC622.10c	YDR166C
SPCC622.07	NONE
SPCC622.06c	NONE
SPCC622.05	NONE
SPCC622.04	NONE
SPCC622.03c	NONE
SPCC622.02	NONE
SPCC622.01c	NONE
SPCC613.08	YDR361C
SPCC613.07	YHR040W
SPCC613.03	YLR250W
SPCC613.02	NONE
SPCC613.01	NONE
SPCC61.05	NONE
SPCC61.04c	YGR172C
SPCC61.03	YKL151C
SPCC5E4.10c	NONE
SPCC5E4.05c	YKL094W
SPCC594.07c	NONE
SPCC594.06c	YGL212W
SPCC594.05c	YPL138C
SPCC594.04c	NONE
SPCC594.03	NONE
SPCC594.02c	YHL026C
SPCC594.01	NONE
SPCC584.16c	NONE
SPCC584.15c	YFR022W|YOR018W
SPCC584.14	YCR054C
SPCC584.13	YDL210W|YGL077C|YKL174C
SPCC584.12	NONE
SPCC584.11c	YDR346C
SPCC584.03c	YGL164C
SPCC584.01c	YFR030W
SPCC576.19c	NONE
SPCC576.17c	NONE
SPCC576.14	YLR172C
SPCC576.13	YBR231C
SPCC576.12c	YDL160C-A
SPCC576.06c	YPL097W
SPCC576.05	YDR159W
SPCC576.04	YNL305C
SPCC576.02	YIR030C
SPCC576.01c	NONE
SPCC569.07	YGL202W|YHR137W
SPCC569.06	NONE
SPCC569.05c	YLL028W
SPCC569.04	NONE
SPCC569.03	NONE
SPCC569.02c	NONE
SPCC569.01c	NONE
SPCC553.12c	NONE
SPCC553.11c	YKL058W
SPCC553.10	NONE
SPCC553.08c	YNL163C
SPCC553.07c	NONE
SPCC553.06	YMR149W
SPCC553.03	YKL197C
SPCC553.02	YHR074W
SPCC553.01c	YGR042W
SPCC550.15c	YBR267W|YLR387C
SPCC550.14	YJL080C
SPCC550.11	YDR395W|YJR132W
SPCC550.09	YBR168W
SPCC550.08	YDR391C|YOR012W
SPCC550.07	YDR242W
SPCC550.03c	YLR398C
SPCC550.01c	YLR218C
SPCC548.06c	YDL245C|YDR342C|YDR343C|YDR536W|YEL069C|YGR289C|YHR092C|YHR094C|YHR096C|YJL214W|YJL219W|YJR158W|YLR081W|YMR011W|YNL318C|YNR072W|YOL156W
SPCC548.05c	YOL054W
SPCC548.04	YIL008W
SPCC4G3.18	YHR197W
SPCC4G3.17	YBR242W|YGL101W
SPCC4G3.16	YOL066C
SPCC4G3.15c	YDL165W
SPCC4G3.14	YFL016C
SPCC4G3.13c	YML101C|YMR264W
SPCC4G3.12c	NONE
SPCC4G3.11	YDL089W
SPCC4G3.09c	YNL293W|YOL112W
SPCC4G3.06c	YLR439W
SPCC4G3.03	YLR149C
SPCC4F11.05	NONE
SPCC4F11.04c	YBR161W|YPL057C
SPCC4F11.03c	NONE
SPCC4B3.18	YIL083C
SPCC4B3.13	YDR338C|YHR032W
SPCC4B3.11c	YAL046C
SPCC4B3.09c	YGL068W
SPCC4B3.08	YML112W
SPCC4B3.07	YOR051C
SPCC4B3.06c	YLR011W
SPCC4B3.05c	YDR047W
SPCC4B3.03c	YOL060C
SPCC4B3.02c	YMR292W
SPCC4B3.01	YOR251C
SPCC417.15	NONE
SPCC417.12	NONE
SPCC417.11c	NONE
SPCC417.10	YJR152W|YLR004C
SPCC417.09c	NONE
SPCC417.04	NONE
SPCC417.03	NONE
SPCC364.07	YER081W|YIL074C
SPCC364.06	YKR048C
SPCC364.04c	YKL179C
SPCC364.01	NONE
SPCC338.18	NONE
SPCC338.15	YEL002C
SPCC338.14	YJR105W
SPCC338.13	YPR105C
SPCC338.12	YNL015W
SPCC338.08	YGL175C
SPCC338.07c	YDL040C
